Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  210000   -7606.6492   -7607.4196    1.5936798    298.01551    299.48037    5.5744482    24490.059    24490.059 0.00091349057   -14495.823   -14715.361    145.67418   0.03842781 
  215000   -7609.4783   -7609.3397    1.5674113    300.33633    301.53327    6.2372832    24490.059    24490.059 0.00091349057   -15097.119   -15102.283    69.981836  0.037300453 
  220000   -7609.9157   -7607.5887    1.9908631    298.12906    298.05923    4.9721665    24490.059    24490.059 0.00091349057   -15213.217   -14624.816    279.69682  0.037543062 
  225000     -7610.87   -7609.2955    1.0789289     298.9522    297.35684    3.5741297    24490.059    24490.059 0.00091349057   -15309.356   -14846.439    132.66776  0.037203958 
  230000   -7606.3593   -7607.8687    2.2129393     305.5613    302.57194    5.7909242    24490.059    24490.059 0.00091349057   -14766.883   -14963.751    302.79674  0.038120853 
  235000   -7611.1901   -7611.9126    1.4750242    299.49547    300.30015    5.6881315    24490.059    24490.059 0.00091349057   -15533.548   -15739.504    178.92867  0.037154745 
  240000   -7607.7667   -7607.2378    1.5012804    302.82199    300.74244    4.5658205    24490.059    24490.059 0.00091349057   -15114.123   -14897.545    148.21367   0.03802819 
  245000   -7604.9709   -7608.4832    2.0276239    303.37073    301.31669    5.0431476    24490.059    24490.059 0.00091349057   -14359.049   -15036.304    321.25167  0.039539896 
  250000   -7607.2304   -7607.7964    1.1614698    304.84999    302.42525    5.0387945    24490.059    24490.059 0.00091349057   -14834.097   -14907.024    65.427276  0.038737046 
  255000   -7608.9582   -7610.5204    1.8591037    294.40426     297.9646    5.8765201    24490.059    24490.059 0.00091349057   -14733.606   -15240.102    248.35292  0.038698508 
  260000   -7606.1468   -7609.2502    1.8038991    307.77298    299.70157    4.5022379    24490.059    24490.059 0.00091349057   -14914.068   -15145.098    188.47823   0.03946548 
  265000   -7607.0013   -7610.3683    2.1207688    302.20057    299.06076    5.9164054    24490.059    24490.059 0.00091349057   -14805.188   -15339.698    309.86948  0.038281092 
  270000   -7607.4719   -7607.0677    1.5598602    290.33982    300.38657    5.2504173    24490.059    24490.059 0.00091349057   -14268.064   -14631.803    263.57488  0.037657738 
  275000   -7609.0226    -7606.955    1.2700339    291.17462     301.1901    5.0431321    24490.059    24490.059 0.00091349057   -14669.159   -14708.289    105.89775  0.038614118 
  280000    -7610.611   -7610.4826    1.4245489    303.08904    299.78369    4.7528068    24490.059    24490.059 0.00091349057   -15623.084   -15465.007    229.80655  0.036247596 
  285000   -7610.0101   -7608.0469     1.250205    293.75786    298.54046    4.5034374    24490.059    24490.059 0.00091349057   -15069.586   -14851.772    131.74492  0.036527399 
  290000   -7606.0354   -7607.0244     1.653354    307.67284    300.25365     7.600029    24490.059    24490.059 0.00091349057   -14732.904   -14651.662    104.05755  0.036034157 
  295000   -7610.8482   -7610.3239    1.6345271    292.95232    297.47311    5.1012376    24490.059    24490.059 0.00091349057   -15074.037    -15193.27    192.89094  0.036617033 
  300000   -7609.5657    -7607.146    1.2019066    297.36572    302.90928    4.0783638    24490.059    24490.059 0.00091349057   -15008.933   -14745.322    118.12484  0.038036624 
  305000   -7606.3444   -7607.1088    1.4345279    308.85662     300.6912    6.3138316    24490.059    24490.059 0.00091349057   -14799.273   -14687.666    118.37272  0.038611315 
  310000   -7606.4028   -7606.2012   0.98060134     303.0359    301.37312    3.3983417    24490.059    24490.059 0.00091349057   -14726.672   -14584.855     207.4543   0.03966355 
  315000   -7608.4448    -7608.023    1.3253706    303.91282    300.87741     5.578645    24490.059    24490.059 0.00091349057   -15243.703   -14971.254      110.529  0.038000561 
  320000   -7609.9678   -7609.5722     1.582035    297.51361    296.87168    4.2890454    24490.059    24490.059 0.00091349057   -15246.486   -15134.534    175.26937  0.038112483 
  325000    -7607.462   -7608.6921    1.8006708    302.64982     298.5531    5.4381374    24490.059    24490.059 0.00091349057   -14851.952   -14918.755    214.18269  0.038482515 
  330000   -7611.9973   -7609.0646    2.3732362    299.57579    300.56505    5.7436448    24490.059    24490.059 0.00091349057    -15647.26    -15077.77    364.94897  0.036874977 
  335000    -7610.393   -7608.2169    1.2317621    293.35428    297.90442    4.4267672    24490.059    24490.059 0.00091349057   -15185.389   -14862.717    118.96956  0.037310817 
  340000   -7606.3106   -7605.9514    1.2295495    303.96773    302.41168    5.7494747    24490.059    24490.059 0.00091349057   -14752.852    -14575.63    79.675623  0.039561341 
  345000   -7610.0654   -7610.9809     1.268492    295.42766    301.02457    5.2741023    24490.059    24490.059 0.00091349057   -15055.952   -15580.034    275.04078  0.037300149 
  350000    -7606.031     -7607.67    1.7087268    305.20607    300.70867    4.5545179    24490.059    24490.059 0.00091349057   -14671.962   -14790.392    172.57044  0.038550762 
  355000   -7611.5983   -7608.8376    1.6187139    293.20164    299.85989    4.6528084    24490.059    24490.059 0.00091349057   -15391.934   -15050.857    235.49687  0.036513844 
  360000   -7606.3488   -7607.4727    1.3661623    302.17253    302.12274    5.2780215    24490.059    24490.059 0.00091349057   -14605.226   -14866.015    122.53362  0.037564232 
  365000   -7605.8771   -7607.5353    1.2214418    308.00373     301.8766    3.7621205    24490.059    24490.059 0.00091349057    -14837.52   -14952.764    163.26966  0.038047081 
  370000   -7609.1901   -7608.3404    1.2559729    300.80067    300.66497    5.2688235    24490.059    24490.059 0.00091349057   -15252.626   -15063.585    85.323334  0.036270646 
