Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  355000   -6273.8237   -6341.1894    98.072331    1985.6789    1998.8551    39.259965     28405.84    27896.316     475.0669   -7901.4468    49.070242    4254.1094    5.9210818 
  360000   -6266.2634   -6340.4667     97.59349    2037.5662     1998.747    39.218697     28334.96    27899.724    472.94742   -5192.9023     55.58424     4261.616    6.0256402 
  365000   -6267.7497   -6339.6775    97.165602    1997.9738    1998.7028    39.208801    28434.614    27903.639    471.16411   -8065.8115    55.944308    4278.9205    6.2018837 
  370000    -6284.239   -6338.8656    96.774168    2006.9559    1998.7742    39.203416    28273.861    27907.453    469.42386   -4627.1855    52.758186    4291.9275    6.3295009 
  375000   -6289.1814   -6338.1925    96.308227    1937.7795    1998.6685     39.14058    28287.807    27910.938    467.34643   -2626.5652    50.772504    4282.3557    6.5214652 
  380000   -6260.7926   -6337.4792    95.882906    2079.8199    1998.7391    39.137588    28284.792    27914.433    465.36075   -3039.3945    52.119401    4271.7319    6.6988143 
  385000   -6253.5857   -6336.7983     95.45432    2057.8913    1998.7359    39.163189     28411.67     27917.78    463.48142   -6053.2138    54.182315    4280.1791    6.8877982 
  390000   -6270.0826   -6336.0563    95.074751    2005.0823    1998.7875    39.191111    28402.543    27921.619    462.10185   -7672.9129    47.971659    4323.2631    7.0735989 
  395000   -6274.2128   -6335.3358    94.693777      2031.34    1998.8201    39.137876    28331.321    27925.304    460.49937   -5785.3254    43.315231    4329.2592    7.1449173 
  400000   -6261.3014   -6334.6992    94.281475     2033.483    1998.8275    39.114366    28339.381    27928.246    458.53453   -4951.4226    47.884561    4323.9305    7.4238447 
  405000   -6271.0468   -6333.9183    93.967539    1973.3793    1998.8914    39.114062    28434.055    27931.986    457.07114    -7726.864    47.321889    4318.4456    7.5339105 
  410000   -6282.0661   -6333.2555    93.590543    1966.5135     1998.829      39.0553    28452.122     27935.29     455.6815   -11354.719    44.941311    4363.6506    7.7465882 
  415000   -6266.8485   -6332.6445    93.201438    1979.0854    1998.9048    38.989181    28358.292     27937.89    453.97585   -4049.5707     47.00543    4402.1768    7.8793489 
  420000   -6263.6453   -6332.1031    92.796006    2102.7514    1999.0299    38.951688    28146.671    27940.254    451.96674    664.55381    51.216021    4386.8572    7.9155876 
  425000   -6274.8637   -6331.5768    92.382276    2003.1084    1999.1084    38.930421     28129.82    27942.572    449.90379    3295.9626    58.797214    4380.8121     8.132559 
  430000   -6319.6561    -6331.012    92.007662    1956.1961    1999.1482    38.913776    28016.039    27945.329    448.35704    730.60139     52.54803    4389.8018    8.2764956 
  435000   -6277.5341   -6330.4711    91.623826    2022.5779    1999.1874     38.91319    28077.759    27947.582    446.39087    3784.6451    56.066928    4393.0248    8.4224904 
  440000   -6278.5928   -6329.9723    91.227757     1998.915    1999.1019    38.859654    28103.788    27949.831    444.59791    3786.2442    59.214785    4409.8192    8.6455197 
  445000   -6268.3479   -6329.2664    90.965399     2025.449    1999.1082    38.794866    28113.291    27953.294    443.66213    5071.3512    57.044819    4436.6955    8.7650554 
  450000   -6297.4161   -6328.7187    90.614694    2004.8124    1999.1091    38.751127    28056.104    27956.029    442.24861    1948.9235    51.272018    4444.6838    8.9441523 
  455000   -6304.3986   -6328.3107     90.20922    1968.5377    1999.0841    38.711374    27993.975    27958.237    440.41102    5244.7871    44.415767    4429.8327    9.0396195 
  460000   -6296.3656    -6327.817    89.851014    1958.9875    1999.0907    38.665642    27896.057    27960.619    438.92261    11205.988    42.762683    4454.4694    9.1093301 
  465000   -6278.4418   -6327.3909    89.472334    2039.2643    1999.0207    38.644544    27879.799    27962.518    437.36736    12685.937    47.127072    4501.8192    9.3646016 
  470000   -6286.6103   -6326.9689    89.095813    2009.4873    1998.9145    38.645801     27945.16    27964.545    435.99403    7947.1348    51.027794    4565.3453    9.5109203 
  475000   -6276.0716   -6326.5881    88.712214    1999.6526    1998.8453    38.614299    28088.245    27966.185    434.20113    5103.8006    57.341156    4588.9705    9.7130898 
  480000    -6291.908   -6326.0438    88.418475    1940.1171    1998.8249    38.601609    28142.942    27968.913    433.08775    1836.7189    51.882027    4613.3418    9.9054463 
  485000   -6295.1298   -6325.5533    88.104513     1975.407    1998.8939    38.613569     28185.96    27971.348    431.58567   -1215.0348    46.313066     4604.402     9.977592 
  490000   -6262.5715   -6324.9208    87.889083    2007.1304    1998.9722    38.602553    28204.918     27974.64    430.63144    3399.9108    33.776437     4587.622    10.190441 
  495000   -6279.7424   -6324.4303    87.585694    1950.7477    1999.0609     38.55898    28144.346    27976.685    428.95095    3829.8805    43.578531    4575.7736     10.31315 
  500000   -6290.1588   -6324.0513    87.233628    1997.8494    1999.0973       38.526    28238.947    27978.535    427.22541   -4150.5888    43.442103    4563.0854    10.469147 
  505000   -6273.7384   -6323.7269    86.874498    1972.9051    1998.9603    38.510707    28508.243    27980.212    425.69886   -10041.038    48.222373    4572.7306    10.760113 
  510000   -6272.7892   -6323.2465    86.589547    1986.8097    1998.9773    38.452586    28434.095    27982.643    424.82938    -7061.064    47.137928    4615.3769    10.974321 
  515000   -6294.9491   -6322.8967    86.248885    1973.7489    1998.9401    38.426239    28301.451    27984.588    423.55789   -6727.3345    43.896844    4632.2052    11.134107 
  520000   -6278.5107   -6322.5734    85.902897    2021.5189     1998.937    38.388467    28214.059    27986.398    421.98809   -962.27218    38.808181    4624.2232    11.375226 
  525000   -6275.2104   -6322.2127    85.578332    2031.7641    1998.9217     38.35464    28114.602     27988.29    420.42695    2865.5202    39.065551    4606.4366    11.520918 
  530000   -6296.3228   -6321.8339    85.271479      2035.73    1998.9746    38.331534    28009.117     27990.14    418.92958    3906.5366    36.501422     4592.732    11.697716 
  535000   -6277.6726   -6321.5531    84.935134    2025.0017    1999.0709    38.347027    28201.273    27991.487    417.29162    -69.65021    35.830943    4578.2196    11.963282 
  540000   -6280.6816   -6321.2365     84.61132     2032.787    1999.1394     38.29825    28178.994    27992.899    415.61745    149.04248    41.321621    4559.5002    12.163811 
  545000   -6295.2255   -6320.9259     84.29289    2048.2496    1999.1205    38.293525    28073.298    27994.627    414.11552   -175.34645    36.246033    4542.0376    12.283457 
  550000   -6273.6473   -6320.5998    83.987505    2058.1016    1999.1775    38.296732    28125.708    27996.315    412.71379    2057.8367    30.486177    4530.9366    12.455106 
  555000   -6278.1957   -6320.3207    83.666042    2019.2608    1999.1321    38.262818    28081.684    27997.658    411.21165    3878.7486    31.177711    4531.8339    12.632439 
  560000   -6290.1528   -6320.0351    83.354413    1987.6893    1999.1598    38.255215    27942.166    27998.929    409.71692    9796.8345    34.659163    4537.1156    12.680554 
  565000   -6289.8807   -6319.7476    83.047394    1998.3567    1999.1104    38.239119    27946.672    28000.399    408.53058     9434.208     36.99618    4565.4275    12.903907 
  570000   -6289.7606   -6319.3612    82.794689    1939.9394    1999.0764    38.202237    28064.341    28002.398    407.56245    5990.5775    33.335533    4569.7875    13.103976 
  575000   -6286.0373   -6319.0642     82.50195     2006.441    1999.0841    38.174602    28143.668    28003.633    406.03917    961.86866    34.411938    4554.9152    13.274014 
  580000   -6303.7962   -6318.8312    82.190384    1965.3302    1999.0979    38.172224    28038.671    28004.769    404.48362    3032.4229    34.345155    4538.3278    13.375072 
  585000   -6286.3726   -6318.6173    81.878794    2031.5596    1999.0761    38.147421    28056.375    28005.848    403.00117    1016.7923    28.381911    4528.5171     13.50923 
  590000   -6283.2111   -6318.3896    81.580777    1983.1727     1999.124    38.134527     28218.48    28006.862    401.73051   -847.83297    26.580366    4531.1884    13.719108 
  595000   -6259.9365   -6318.0666    81.322932      1982.21    1999.1657    38.132385    28282.934     28008.34    400.62653     1358.842    29.272534    4540.7333     13.88594 
  600000   -6295.4082   -6317.6893    81.094948    1957.1182    1999.1639    38.111403     28129.95    28010.156    399.46913    617.24694    28.507749    4528.8949    14.006029 
  605000   -6281.7669    -6317.472    80.802476     1974.857    1999.1316    38.108035    28163.488    28011.084    398.05247    1412.3209     31.53641    4522.9874    14.225289 
  610000   -6291.3472   -6317.2063    80.528116    1958.0508    1999.1065    38.068147    28178.625     28012.54    396.77774    1065.2712    31.675102    4509.6266    14.473295 
  615000   -6249.5723   -6316.8986    80.280143    2100.4204    1999.1162    38.044794    28035.608     28014.21    395.66481    10442.348    29.140885    4504.9878    14.624149 
  620000   -6264.8065   -6316.5299    80.070524         2039     1999.102    38.016649     28035.17    28016.211    395.03144    9140.0718    25.854824    4523.5396    14.738023 
  625000   -6299.1726   -6316.2239    79.828879    1968.7763    1999.1501    37.993201    27997.015    28017.538    393.97119    6920.3519    29.512195     4544.096    14.882893 
  630000   -6277.4779   -6315.9348    79.592957    2025.1643    1999.1042    37.947448    28140.844    28019.144    393.08996    1684.5781    26.238046    4547.9875    15.186367 
  635000   -6258.2705   -6315.5485    79.402633    2018.8319    1999.1901    37.916299    28140.541    28020.871    392.22385    5684.9329    27.084889    4555.0093    15.431301 
  640000   -6272.8525   -6315.2233    79.184282    1988.3998    1999.2028    37.911222    28207.078    28022.332    391.14345     1157.604    28.123313    4548.7517    15.633997 
  645000   -6284.4138    -6315.007    78.921692    2043.0701    1999.2177    37.900276    28064.074    28023.167     389.7546    923.86741     30.12733    4537.1083    15.777434 
  650000   -6285.0421   -6314.7991    78.661119    1987.3893    1999.2578    37.904538    28122.453    28024.153    388.58324    4308.9274    27.475829    4536.8653    15.952382 
  655000   -6269.2184    -6314.541    78.421475    2008.1998    1999.3186    37.888592    28163.931    28025.431    387.45824    3388.7339    30.974365    4532.0974    16.164814 
  660000   -6269.2322   -6314.2935    78.180687    2026.2845     1999.377    37.884625    28156.522     28026.59    386.22136    2755.6284    33.323217     4517.223    16.330935 
  665000   -6267.9026   -6314.0441    77.945144    2028.2248    1999.4047    37.882196    28146.211    28027.627    384.96202    2647.7725    37.113932    4503.5526    16.497439 
  670000   -6290.9359   -6313.8282     77.69894     2040.089     1999.422     37.87629    28120.293    28028.716    383.82983   -30.722396    38.552024       4499.4    16.661293 
  675000   -6262.9866   -6313.6309     77.45275    2040.3679    1999.3955    37.838029    28115.676    28029.753    382.63471    4605.2583    34.486164     4491.899    16.809486 
  680000   -6291.8856   -6313.3497    77.243358    2012.5063    1999.4097    37.824455    28018.169    28030.978    381.59558    4064.5673    34.427813    4486.8462      16.9297 
  685000   -6301.3578   -6313.1595    76.996772    1954.4538    1999.4073    37.784633    27968.902    28031.677    380.45577    7278.4307    39.355168    4497.1966    17.079818 
  690000   -6309.3682   -6312.9225    76.775899    1968.0537    1999.4734    37.750389    28078.245    28032.735    379.46692    1169.7046     38.32346    4508.8257    17.355374 
  695000   -6299.8448   -6312.6701    76.561412    1957.9782    1999.5276     37.72247     28180.18    28034.008    378.49167   -1276.4117    36.529981     4508.914    17.584382 
  700000   -6297.0148   -6312.4678    76.329378    2018.0244    1999.5194    37.716381    28135.596    28034.966    377.41472   -1009.1694    39.978439    4505.4276    17.801757 
  705000   -6265.1564   -6312.2611    76.103544    2010.3343    1999.5623    37.694113    28298.437     28035.92    376.37077   -2065.0165    39.818123    4514.6079    18.079213 
  710000   -6304.6371   -6312.0489    75.891575    1992.3722    1999.6161     37.69649    28158.919    28036.746    375.67464   -4608.8358    42.660521    4541.7117    18.234072 
  715000   -6306.8446   -6311.9028    75.653223    1975.4443    1999.6092    37.669025    28175.024    28037.441    374.67521   -3684.0694    37.985945     4555.567    18.361924 
  720000   -6297.4395    -6311.719     75.42621    1942.3717    1999.5935    37.628215    28247.827    28038.383    373.59189   -3966.1071    33.411781    4551.2149    18.524104 
  725000   -6303.5251   -6311.5137    75.212141    1960.0729    1999.6578     37.62481    28230.286    28039.262    372.48215   -5409.2868    31.081202    4541.4086    18.641837 
  730000   -6315.5147   -6311.3823      74.9751    1918.9264    1999.6366    37.604973    28251.484    28039.947     371.3699   -6938.7606    27.744168    4537.5361    18.776852 
  735000   -6248.8738   -6311.2168    74.755058     2067.895      1999.68    37.590165     28313.24    28040.675     370.4133   -2268.3125     26.82594     4546.132    18.924393 
  740000     -6294.46   -6311.0746     74.52885    1996.3286    1999.6679    37.559493    28308.335    28041.327    369.41249   -7464.4194    28.148655    4549.0463    19.082994 
  745000   -6287.8813    -6310.944    74.302674    1971.3903    1999.7154    37.596339    28271.987    28041.959    368.38422   -4368.9502    26.987578    4551.3248     19.27304 
  750000   -6267.5053   -6310.7804    74.087574    2048.0103    1999.7224    37.568075    28337.858    28042.743    367.39685    -6441.302    27.866773    4547.0053    19.423567 
  755000   -6258.2409   -6310.5325     73.91041     2018.906    1999.6842    37.602777    28408.599    28044.098    366.75189   -6049.0238    22.395465    4558.8618    19.662148 
  760000   -6295.7839   -6310.3339    73.712215     1949.947    1999.6622    37.589375    28336.645    28045.096    366.15695   -8660.7439    19.133456    4602.1772    19.713361 
  765000   -6277.3982   -6310.1704    73.505539    2009.6994    1999.7057    37.579437    28290.708    28045.612    365.31925   -4674.2193    25.320204    4619.0841    19.748879 
  770000   -6263.4471   -6309.9884    73.306382     2036.115    1999.7454    37.574941    28271.756    28046.367    364.42325   -2007.5971    25.958126     4623.468    19.962146 
  775000   -6286.6758     -6309.77    73.127144    1966.7018    1999.7739    37.557083    28312.416    28047.362    363.51758   -5456.9208    26.996666    4615.9293    20.077463 
  780000   -6275.1578    -6309.537    72.955091    1966.4881    1999.6984    37.551685    28268.244     28048.55     362.6898   -37.716502    27.508483    4607.3696    20.193118 
  785000   -6275.2269   -6309.2896    72.793847     1995.367     1999.714    37.529994    28405.871    28049.722    361.91558   -8478.7137    26.790289    4600.3181    20.525147 
  790000   -6259.6842   -6309.0674    72.626001    1973.5298     1999.784    37.535363    28481.785    28050.693    361.25457   -7644.5289    28.819879    4612.0859    20.753018 
  795000     -6264.68   -6308.8087    72.478233    2048.8428    1999.8188    37.494985    28290.793    28052.002    360.61431   -3449.6867    25.573007    4616.9657    20.856221 
  800000   -6286.7763   -6308.7187    72.266299    2011.8061    1999.7643    37.491451    28204.657    28052.592    359.67024   -1471.2145     24.14612    4618.6954    21.076917 
  805000   -6295.9648   -6308.5775    72.068577    1971.2283    1999.7272    37.477508      28153.2     28053.39    358.79064    994.98893    25.412625    4618.6328     21.25133 
  810000   -6285.4489   -6308.4535    71.867012    2055.0224    1999.7456    37.470884     28045.57    28053.994    357.83349    2590.4878    25.387299     4616.361    21.307522 
  815000   -6274.8406   -6308.2889    71.683014    2054.8744    1999.7763    37.454682    28018.744    28054.911    357.16244    6285.8884    19.903871    4624.1376     21.50485 
  820000   -6274.3444   -6308.1678    71.486699    2070.1061    1999.7795    37.452188     27980.99    28055.391    356.39001    7066.2031    22.796767    4645.3762    21.709917 
  825000   -6299.9997   -6308.0895    71.282005    1958.6831    1999.7782    37.441647    28014.286    28055.656    355.51718    5620.2727    24.872261    4652.4286    21.863126 
  830000   -6288.2329   -6307.9395    71.097776    2025.7401    1999.8144    37.435513    27972.677    28056.178    354.64079    5428.5623    26.327285    4655.3656    21.933745 
  835000   -6316.0576   -6307.8787    70.896149    1949.6729    1999.7839    37.440806      28001.9     28056.36    353.65824    2268.3925    27.029954    4651.0464    22.130897 
  840000    -6303.636   -6307.8019    70.700572    1988.7217    1999.7778    37.454354    28097.035    28056.638    352.70787   -671.53075      26.4649    4643.4316    22.347469 
  845000    -6289.591   -6307.7588    70.502416    2034.5231    1999.7554    37.435654    28125.549    28056.978    351.80752   -1043.5575    21.460139    4643.8458    22.352833 
  850000   -6308.5919   -6307.7271    70.302468    1943.1692    1999.7208    37.410934    28175.365    28057.104    350.94759   -1815.3938    23.673252    4645.7887    22.509105 
  855000   -6308.1732    -6307.697    70.107294    1952.1865    1999.6931    37.401342    28319.732    28057.302    350.09608   -8959.1233    26.056453    4643.0041    22.740192 
  860000    -6256.095   -6307.5066    69.958289    2051.0941    1999.7563    37.387134    28410.131    28058.202    349.46164   -6391.6372    24.512281    4648.3392    23.022715 
  865000   -6263.3944     -6307.34    69.794875    2037.2796     1999.799    37.378768    28354.543    28058.961    348.79766    -6054.384    23.508618    4659.8169    23.145455 
  870000   -6271.2795   -6307.2288    69.615483    2005.0218    1999.8053    37.364611    28249.005    28059.461    348.05257   -1388.8432    23.525692    4672.4687    23.153397 
  875000   -6295.1575   -6307.1317    69.434457    2010.5462    1999.8207    37.362329     28192.64    28059.798    347.13666   -3925.0391    26.289185    4665.1646    23.309212 
  880000   -6290.4439   -6307.0571    69.249825     2007.598     1999.839    37.360846    28222.955    28060.097    346.20057    -3380.445    27.634695    4654.9514    23.493639 
  885000   -6285.4636    -6306.933    69.078494    1993.7834    1999.8741    37.360174    28196.443    28060.629    345.30344   -827.78185     29.93022     4643.061    23.475088 
  890000   -6274.7978   -6306.7647    68.925024    2018.2571    1999.8892    37.352677    28138.133     28061.39    344.51119     2264.182     30.34836    4632.9401    23.589362 
  895000   -6306.7937   -6306.6029    68.771273    1975.7586    1999.8917    37.339358    28059.688    28062.164    343.76369     1100.789    29.525888    4624.9285    23.698384 
  900000   -6277.6491   -6306.5089    68.597741    2035.1527    1999.8738    37.342346    28037.649    28062.645    342.91976    4783.3093    29.243023    4618.5725    23.874767 
  905000   -6292.5272   -6306.3956    68.431931    2001.8077    1999.8616    37.347117    28215.986    28063.269    342.09378   -2479.4092    27.831893    4609.0536    24.155897 
  910000   -6278.3595   -6306.3037    68.258578    2028.2091    1999.8258    37.327418     28312.19    28063.809    341.27466   -6525.3551    27.570375    4602.8574    24.443412 
  915000   -6288.8448   -6306.1959    68.095859    1972.7045    1999.8319    37.348812    28294.825    28064.284    340.49351   -4600.3352    28.852271    4598.9365    24.569141 
  920000   -6280.8834   -6306.0905    67.932451    2027.2691    1999.8439    37.326101    28230.797    28064.724    339.75818   -3153.6159    32.683041    4596.5141    24.673164 
  925000   -6299.3636   -6306.0157    67.766342    1942.4879     1999.791    37.314318    28032.543    28065.003    339.16193     4053.055    35.852744    4603.8925    24.701604 
  930000   -6300.1997   -6305.8897    67.614797    2000.6442    1999.7986    37.322396    28040.352    28065.683    338.65962    2570.6062    32.861067    4618.9329    24.891553 
  935000   -6273.8515   -6305.8126    67.447996    2028.1452    1999.7585    37.323321    28189.739    28066.175    337.86519   -497.80029    30.702714    4615.5683    25.279893 
