Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1564166.9561987922,954.1328433763432,126303.59999999992,0.0
1548832.4898274555,1881.8357608364672,126684.60500000013,0.0
1538632.2676305347,2222.8047687241733,127066.375,0.0
1525809.805172029,3051.8407395033532,127448.91500000004,0.0
1504545.8848769409,4830.6485448728245,127832.22000000015,0.0
1498112.8072297352,3940.102849776772,128216.28999999988,0.0
1473795.3746212295,1266.2911042697656,128601.13499999985,0.0
1459001.057891596,6703.180782778012,128986.74500000008,0.0
1444323.7885566258,8350.282114409876,129373.125,0.0
1421332.1941376345,5814.432892377269,129760.27499999976,0.0
