Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1566604.197233,4509.433859984709,126303.59999999992,0.0
1555879.0473592423,5510.852565721802,126684.60500000013,0.0
1534784.5388586407,3284.3499172218267,127066.375,0.0
1515944.0366825452,872.6211937473388,127448.91500000004,0.0
1512804.28674504,1919.3732023000732,127832.22000000015,0.0
1490972.7246450551,4854.920717335752,128216.28999999988,0.0
1483806.2233668473,4552.782574145161,128601.13499999985,0.0
1453820.9312983146,4175.955355853166,128986.74500000008,0.0
1446346.2149283115,4110.825126705451,129373.125,0.0
1416271.0662666261,1228.2591001955084,129760.27499999976,0.0
