Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1567200.445992995,1248.9240497288306,126303.59999999992,0.0
1556638.7281565585,457.85868895543285,126684.60500000013,0.0
1534229.5548946473,3037.739843836968,127066.375,0.0
1520111.9253980354,3052.7299328398753,127448.91500000004,0.0
1510587.8213807603,1054.6095205467727,127832.22000000015,0.0
1486657.8676338622,1122.37187536805,128216.28999999988,0.0
1480226.5530383145,4911.332646031606,128601.13499999985,0.0
1463673.9393231766,6896.473244650527,128986.74500000008,0.0
1438718.3651758165,5136.262758370105,129373.125,0.0
1422406.7570796732,1691.6965707851111,129760.27499999976,0.0
