Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1565847.905399158,3839.2772141023383,126303.59999999992,0.0
1552979.3337763424,4823.298692436798,126684.60500000013,0.0
1537115.9566306921,3266.940439986613,127066.375,0.0
1524978.5082829122,878.0252148524867,127448.91500000004,0.0
1503069.0542454408,3297.688428437125,127832.22000000015,0.0
1489576.9226127237,3334.3430514692704,128216.28999999988,0.0
1482069.2467642613,588.507359540682,128601.13499999985,0.0
1459502.4784491395,2057.0308086047726,128986.74500000008,0.0
1438480.3242453558,2794.1256936327,129373.125,0.0
