Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1562374.9463070242,3002.512294032123,126303.59999999992,0.0
1559436.0483984265,2838.8710464181454,126684.60500000013,0.0
1531284.1785999008,3890.2464243187906,127066.375,0.0
1524275.9566645916,3869.92190521559,127448.91500000004,0.0
1509695.606259448,641.1172754431344,127832.22000000015,0.0
1488123.6506948986,1851.118096655989,128216.28999999988,0.0
1477910.7211049579,5112.673257900357,128601.13499999985,0.0
1460786.0601386952,5801.4733782440335,128986.74500000008,0.0
1430555.6102212362,1639.2458531612947,129566.88999999994,0.0
