Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1563404.246647491,6534.712142963844,126303.59999999992,0.0
1548769.5511060415,6553.804188232177,126684.60500000013,0.0
1541921.6225608962,2012.3071580902379,127066.375,0.0
1522788.5556366632,1139.4406892501847,127448.91500000004,0.0
1506229.846484382,1516.6235558443245,127832.22000000015,0.0
1496706.51671402,1377.2950425903953,128216.28999999988,0.0
1474728.1175884665,4243.712582967597,128601.13499999985,0.0
1457551.050585635,5708.859219815335,128986.74500000008,0.0
1448562.065444576,4142.342361988973,129373.125,0.0
1416810.4923833807,1542.3538151947341,129760.27499999976,0.0
