Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
1570619.4799983955,478.32503869263763,126303.59999999992,0.0
1545543.7772122887,1720.042383408098,126684.60500000013,0.0
1539084.7506095306,1738.526322159536,127066.375,0.0
1523738.9841285099,1475.6168215729547,127448.91500000004,0.0
1509405.4049972962,1524.6347667572934,127832.22000000015,0.0
1488722.9749746604,997.8855042909546,128216.28999999988,0.0
1471713.1699191805,2505.485285434109,128601.13499999985,0.0
1459605.353055861,2434.428424892759,128986.74500000008,0.0
1442282.5367344685,4476.042583087569,129373.125,0.0
1425410.1132735808,4458.480448226194,129760.27499999976,0.0
