Bulk Modulus (metal),Error Bulk Modulus,Volume,Error Volume
-inf,nan,126113.28999999972,0.0
inf,nan,126113.28999999972,0.0
-inf,nan,126113.28999999972,0.0
inf,nan,126113.28999999972,0.0
-inf,nan,126113.28999999972,0.0
inf,nan,126113.28999999972,0.0
inf,nan,126113.28999999972,0.0
-inf,nan,126113.28999999972,0.0
inf,nan,126113.28999999972,0.0
inf,nan,126113.28999999972,0.0
41534524.00131202,2298.4586861161188,126303.59999999992,0.0
-inf,nan,126493.9100000001,0.0
inf,nan,126493.9100000001,0.0
inf,nan,126493.9100000001,0.0
-inf,nan,126493.9100000001,0.0
inf,nan,126493.9100000001,0.0
inf,nan,126493.9100000001,0.0
-inf,nan,126493.9100000001,0.0
inf,nan,126493.9100000001,0.0
inf,nan,126493.9100000001,0.0
41383323.858157754,4884.315457164774,126684.60500000013,0.0
-inf,nan,126875.30000000016,0.0
inf,nan,126875.30000000016,0.0
-inf,nan,126875.30000000016,0.0
-inf,nan,126875.30000000016,0.0
inf,nan,126875.30000000016,0.0
inf,nan,126875.30000000016,0.0
-inf,nan,126875.30000000016,0.0
inf,nan,126875.30000000016,0.0
inf,nan,126875.30000000016,0.0
-inf,nan,126875.30000000016,0.0
41234898.9921333,6025.991457031155,127066.375,0.0
-inf,nan,127257.44999999984,0.0
inf,nan,127257.44999999984,0.0
-inf,nan,127257.44999999984,0.0
inf,nan,127257.44999999984,0.0
inf,nan,127257.44999999984,0.0
-inf,nan,127257.44999999984,0.0
inf,nan,127257.44999999984,0.0
-inf,nan,127257.44999999984,0.0
-inf,nan,127257.44999999984,0.0
inf,nan,127257.44999999984,0.0
41081589.36272235,1296.1719286547684,127448.91500000004,0.0
-inf,nan,127640.38000000022,0.0
inf,nan,127640.38000000022,0.0
inf,nan,127640.38000000022,0.0
-inf,nan,127640.38000000022,0.0
inf,nan,127640.38000000022,0.0
-inf,nan,127640.38000000022,0.0
inf,nan,127640.38000000022,0.0
-inf,nan,127640.38000000022,0.0
-inf,nan,127640.38000000022,0.0
inf,nan,127640.38000000022,0.0
40918899.43318793,2440.998698586162,127832.22000000015,0.0
-inf,nan,128024.06000000006,0.0
inf,nan,128024.06000000006,0.0
-inf,nan,128024.06000000006,0.0
-inf,nan,128024.06000000006,0.0
inf,nan,128024.06000000006,0.0
-inf,nan,128024.06000000006,0.0
inf,nan,128024.06000000006,0.0
-inf,nan,128024.06000000006,0.0
-inf,nan,128024.06000000006,0.0
-inf,nan,128024.06000000006,0.0
40769821.15708097,6406.568776159674,128216.28999999988,0.0
-inf,nan,128408.5199999997,0.0
-inf,nan,128408.5199999997,0.0
-inf,nan,128408.5199999997,0.0
inf,nan,128408.5199999997,0.0
-inf,nan,128408.5199999997,0.0
-inf,nan,128408.5199999997,0.0
inf,nan,128408.5199999997,0.0
-inf,nan,128408.5199999997,0.0
inf,nan,128408.5199999997,0.0
40605539.43149579,965.0186333132511,128601.13499999985,0.0
-inf,nan,128793.75,0.0
inf,nan,128793.75,0.0
inf,nan,128793.75,0.0
-inf,nan,128793.75,0.0
inf,nan,128793.75,0.0
inf,nan,128793.75,0.0
-inf,nan,128793.75,0.0
inf,nan,128793.75,0.0
-inf,nan,128793.75,0.0
inf,nan,128793.75,0.0
40454320.775707744,379.56699628862003,128986.74500000008,0.0
-inf,nan,129179.74000000018,0.0
inf,nan,129179.74000000018,0.0
-inf,nan,129179.74000000018,0.0
inf,nan,129179.74000000018,0.0
inf,nan,129179.74000000018,0.0
-inf,nan,129179.74000000018,0.0
-inf,nan,129179.74000000018,0.0
inf,nan,129179.74000000018,0.0
inf,nan,129179.74000000018,0.0
-inf,nan,129179.74000000018,0.0
40291759.510293886,3749.448937217441,129373.125,0.0
-inf,nan,129566.50999999982,0.0
inf,nan,129566.50999999982,0.0
inf,nan,129566.50999999982,0.0
-inf,nan,129566.50999999982,0.0
inf,nan,129566.50999999982,0.0
-inf,nan,129566.50999999982,0.0
inf,nan,129566.50999999982,0.0
-inf,nan,129566.50999999982,0.0
-inf,nan,129566.50999999982,0.0
40138039.2995848,1929.636602808487,129760.27499999976,0.0
-inf,nan,129954.0399999997,0.0
-inf,nan,129954.0399999997,0.0
inf,nan,129954.0399999997,0.0
-inf,nan,129954.0399999997,0.0
-inf,nan,129954.0399999997,0.0
inf,nan,129954.0399999997,0.0
inf,nan,129954.0399999997,0.0
-inf,nan,129954.0399999997,0.0
inf,nan,129954.0399999997,0.0
