Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  405000   -7595.9545   -7593.8582    1.3788648    291.78446    300.71874    4.5528737    24197.353    24197.353 0.0016194457     3300.005    3386.8612    103.98077  0.034595921 
  410000   -7595.2472   -7594.9396      1.27479     299.5598    298.76822    4.9058074    24197.353    24197.353 0.0016194457    3027.4645    3158.7627     130.5917   0.03506747 
  415000   -7591.6449   -7592.9928    1.8353888    307.57637    303.79611    6.2935204    24197.353    24197.353 0.0016194457    3458.1953    3365.5408    190.33508   0.03565556 
  420000   -7594.7617   -7595.5216     1.978548    306.30279    300.49559    5.6917022    24197.353    24197.353 0.0016194457    2984.7463    3084.6492    245.53493   0.03585013 
  425000   -7594.4494   -7594.6911    1.8450017    299.00358    301.46334    5.2481625    24197.353    24197.353 0.0016194457    3337.8681    3199.7608    209.59833  0.036150914 
  430000   -7597.8811    -7595.531    1.7502822    302.52493    302.85545    3.7982105    24197.353    24197.353 0.0016194457    2378.6736    2969.8665    333.78893  0.034428376 
  435000   -7596.0006   -7596.4804    1.2641568    301.37904    299.66068     5.368174    24197.353    24197.353 0.0016194457    2926.6122    2809.6974    187.81292  0.033694582 
  440000   -7599.0983   -7595.9855       1.1239    294.44107    300.04974    4.1538242    24197.353    24197.353 0.0016194457    2480.0953    2893.5711    132.40101  0.035175946 
  445000   -7592.1213   -7595.5632    1.7441779    308.11715    297.75256    5.8271766    24197.353    24197.353 0.0016194457    3425.0431    3135.4016    166.02558  0.035478514 
  450000   -7595.0499   -7595.4688    2.5202831    301.46406    299.76284    6.7936648    24197.353    24197.353 0.0016194457    3077.2228    3045.0583    328.63608  0.035872584 
  455000   -7597.1758   -7595.4883    1.3129278    295.65213    299.23221    3.5350425    24197.353    24197.353 0.0016194457     2908.551    3121.6525    184.87772   0.03589227 
  460000   -7601.7201   -7599.9704    2.2130506    294.83953    297.12876    3.6454699    24197.353    24197.353 0.0016194457    1950.7484    2210.5976     347.8702  0.034614318 
  465000   -7597.1772   -7594.0142    1.6674157    295.36853     305.1709    5.1780452    24197.353    24197.353 0.0016194457      2908.31    3116.7337    179.18296  0.036495676 
  470000   -7594.9982    -7595.371     1.314188    298.01731    301.87112    4.4510182    24197.353    24197.353 0.0016194457    3226.0289    2982.5061    158.36589  0.036393637 
  475000   -7595.5901   -7596.7402    1.6790104    296.34938    299.65946    5.2078977    24197.353    24197.353 0.0016194457    3109.7194    2754.0695    274.92471  0.036387879 
  480000   -7594.4422   -7595.0257     1.651812    299.11628    297.31459    7.0428797    24197.353    24197.353 0.0016194457    3350.1026    3281.3282    106.43315  0.035667412 
  485000   -7593.3846   -7597.2724    1.6164013    306.12609    299.35151    6.3454336    24197.353    24197.353 0.0016194457    3159.4756    2600.5264    244.58704  0.036387709 
  490000   -7594.3282   -7593.5113     1.540553    292.91119    298.79342    5.4940049    24197.353    24197.353 0.0016194457    3649.1012    3518.6957    125.07581  0.037080308 
  495000    -7596.261   -7594.8124     1.156345    295.37136    300.56703    4.5736634    24197.353    24197.353 0.0016194457     3135.899    3185.6437    107.73342  0.035594717 
  500000    -7597.162   -7596.7309    1.3281144    300.64614    299.55266    4.1192438    24197.353    24197.353 0.0016194457    2590.8027    2794.4786    240.93017  0.034391556 
  505000   -7596.3774   -7596.2494    1.2652566    300.52456    300.58713    3.9035591    24197.353    24197.353 0.0016194457    2798.7419    2868.3581    182.79851  0.035818995 
  510000   -7597.2481    -7596.524    2.0510889    301.59702    300.70167    5.7036434    24197.353    24197.353 0.0016194457    2553.8403    2687.6338     311.3939  0.034884883 
  515000   -7593.9514   -7594.8615    1.7728188    299.00419    302.37929    6.1210449    24197.353    24197.353 0.0016194457    3488.6254    3045.8491     225.4141  0.034971018 
  520000   -7598.5896   -7597.0318    1.7668307    295.34618    299.04993    5.3141801    24197.353    24197.353 0.0016194457    2552.8766    2755.0187    217.98661  0.034628855 
  525000   -7595.3245    -7594.021    1.6655306    294.76047    300.15356    5.4401686    24197.353    24197.353 0.0016194457    3322.7851    3400.9125      210.254  0.034980981 
  530000   -7597.0223   -7596.2634    1.1514739    301.32725    301.07752    4.5133935    24197.353    24197.353 0.0016194457    2703.7181    2870.4738    101.35042  0.036431971 
  535000   -7592.8977   -7594.5901    1.3942392    309.20597    303.64138    4.9308149    24197.353    24197.353 0.0016194457    3189.3684    3111.5462    123.39744  0.035820984 
  540000    -7595.233   -7596.0257    1.2730239    300.85786    299.42723     4.812951    24197.353    24197.353 0.0016194457    2962.9087    2838.9277    86.014264  0.037075758 
  545000   -7596.7333   -7594.6298    1.3140051    299.96959    302.97732    4.7591479    24197.353    24197.353 0.0016194457    2676.7234     3000.368     172.7416  0.036994031 
  550000    -7594.086    -7595.787    2.0953749    301.96634    300.34079    5.1171126    24197.353    24197.353 0.0016194457    3187.5386    2853.0968    300.85069  0.036870415 
  555000    -7594.288   -7596.2484     1.461884    303.87327    300.85807    4.8093779    24197.353    24197.353 0.0016194457    3085.7974    2820.7562    127.36105  0.036480065 
  560000   -7598.3156   -7598.1757    1.2311251    300.81591     296.2169    5.2212008    24197.353    24197.353 0.0016194457    2354.1433    2626.4331    166.44614  0.036154142 
  565000   -7599.5283   -7596.3379     2.269909    296.38768    301.68841    7.0346991    24197.353    24197.353 0.0016194457    2349.3711    2753.2995    267.70359  0.036036768 
