Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  410000   -7600.9865   -7602.4015     1.610222    303.15189    300.51982    4.1360726    24124.542    24124.542 0.00034526698    6704.2378    6522.9989    281.45164  0.037010005 
  415000   -7600.2715   -7602.6053    1.2986301    307.82028    301.80096     4.653019    24124.542    24124.542 0.00034526698    6839.8183    6583.6108    139.79576  0.034759218 
  420000   -7600.7572   -7601.8773    1.3333483    299.60457    301.57711    5.3321924    24124.542    24124.542 0.00034526698     7011.947     6715.777    110.23023  0.035934968 
  425000    -7602.998   -7603.0456    1.3149007    301.64273    301.72392    4.9046545    24124.542    24124.542 0.00034526698    6344.7208    6372.3453    146.23859  0.035774465 
  430000   -7605.6973   -7604.8962    1.1925564    292.43054    299.19882     6.174892    24124.542    24124.542 0.00034526698    6349.1137     6227.158    122.96803  0.035275261 
  435000    -7600.594   -7601.8261    2.5253812    299.77205    303.30983    6.1754853    24124.542    24124.542 0.00034526698    7047.8933     6563.666    469.91818  0.037519048 
  440000   -7603.7235   -7603.7014    1.3088491     302.9239    298.92995    4.4849375    24124.542    24124.542 0.00034526698    6243.8461    6380.4798    128.56568  0.035992211 
  445000   -7602.3392   -7603.6723    1.2777145    301.46094    298.28641    5.2227301    24124.542    24124.542 0.00034526698    6485.5335    6409.2953    95.255975    0.0347125 
  450000   -7597.2928   -7601.5949    1.9022041    310.67217    299.35664     5.348343    24124.542    24124.542 0.00034526698    7227.4741    6771.9198    337.18889  0.035482729 
  455000   -7603.1853   -7604.5046    1.6731904    299.54453    299.14901    5.8879823    24124.542    24124.542 0.00034526698    6444.4558    6188.0844    153.28206  0.034920772 
  460000    -7604.344   -7603.3858    1.0925264    294.57159     302.5413    4.1631324    24124.542    24124.542 0.00034526698    6343.6513    6248.8817     87.78244  0.035788427 
  465000   -7604.2161   -7600.9469    1.8163571    295.28074    299.07763    4.5650689    24124.542    24124.542 0.00034526698    6566.1764    7126.8366    333.32953  0.034985179 
  470000   -7599.6199   -7601.9335    1.8790338     301.2432    296.74433    6.9621454    24124.542    24124.542 0.00034526698    7091.1889    6823.0052     106.2886  0.035833101 
  475000    -7604.749   -7602.5663    1.4488616    296.13957    301.37471    5.2542287    24124.542    24124.542 0.00034526698    6264.0168     6541.451    123.67551  0.034030542 
  480000    -7605.378   -7602.1488    2.1077985    291.40806    300.82031    5.3142774    24124.542    24124.542 0.00034526698    6405.1595    6676.6756    284.67427  0.036104277 
  485000   -7598.6133   -7600.3651      1.40282    312.31791    301.91916    6.0135078    24124.542    24124.542 0.00034526698    6934.7898    6942.8514    81.553642  0.036167136 
  490000     -7600.53   -7603.0767    1.7444423    301.42574    299.67517    4.7406368    24124.542    24124.542 0.00034526698      6991.83    6543.5271    228.93183  0.035762198 
  495000   -7603.3281    -7603.165    1.4283087    301.59284    299.86446    6.1560474    24124.542    24124.542 0.00034526698    6381.8758    6504.9927    144.83717  0.034207156 
  500000   -7601.2765   -7601.9053    1.4384462     299.0048     302.1064    3.7569203    24124.542    24124.542 0.00034526698    6942.5193    6639.0925    260.47197  0.036589797 
  505000   -7601.5086   -7601.0171     1.738427    294.48727    300.94216    4.9465884    24124.542    24124.542 0.00034526698    7084.1721    6937.9706    208.80816  0.036225606 
  510000   -7605.0187   -7603.2409    1.1552875    294.37182    300.83781    4.9721778    24124.542    24124.542 0.00034526698    6397.2573    6454.2258    88.804604  0.034564497 
