Step TotEng v_varAveEnergy v_energySTD Temp v_varAveTemp v_tempSTD Volume v_varAveVolume v_volumeSTD Press v_varAvePress v_pressSTD c_MSD[4] 
  645000   -7580.7452   -7582.3444    1.5952324    302.29556    300.52493    5.9919854    24270.309    24270.309  0.002264067   -996.55173   -1310.9393    338.92805  0.037677887 
  650000    -7582.065   -7581.9617    1.2900151    300.31978    299.82306    4.1388909    24270.309    24270.309  0.002264067   -1280.7699   -1206.3463    164.65273  0.038449111 
  655000   -7585.5508   -7582.2053    1.9376889    290.42867    300.19246    4.8142418    24270.309    24270.309  0.002264067   -1489.3031   -1209.4387    316.26763  0.037983179 
  660000   -7583.7468    -7582.441    1.1489852    297.29148    302.58574    3.8100555    24270.309    24270.309  0.002264067   -1399.3696   -1432.8339    79.947037  0.038426292 
  665000   -7581.8399   -7582.4405    1.2476179    299.40264     297.0077    4.9738212    24270.309    24270.309  0.002264067    -1095.878    -1100.134     84.70835  0.039808113 
  670000   -7580.5582   -7582.0188    1.6080882    309.71827    300.18946    5.3085621    24270.309    24270.309  0.002264067   -1246.4455   -1072.1658     281.0756  0.038811112 
  675000   -7582.1003   -7582.2317    1.4390467    299.50795    299.32357    5.3681656    24270.309    24270.309  0.002264067   -1129.3012   -1155.7343    120.23964  0.037846344 
  680000   -7578.5282   -7580.1821    1.0629979    305.89061    299.67744    4.7828282    24270.309    24270.309  0.002264067   -685.28563   -784.78974    157.16583  0.038728327 
  685000   -7583.1518   -7581.7828    1.3022381     296.9439    301.38756    5.5772221    24270.309    24270.309  0.002264067   -1258.0939   -1167.1723    188.82751  0.037733499 
  690000   -7584.5581   -7584.4375    1.0172988    294.77803    297.63496    4.0977453    24270.309    24270.309  0.002264067    -1572.028   -1637.5385    105.96963  0.038870937 
  695000   -7579.9629   -7580.6849    1.2828417    306.55582    298.41919    4.8852386    24270.309    24270.309  0.002264067   -1019.7328   -810.96074    169.21088  0.039395872 
  700000   -7584.2836   -7581.8636    1.5934383     291.6869    302.32953    5.2322102    24270.309    24270.309  0.002264067   -1345.0668   -1232.2092    183.21705  0.038870088 
  705000   -7584.2993    -7583.476    2.0183453    303.01333    298.98062    4.9491705    24270.309    24270.309  0.002264067   -1835.3616   -1427.9525     296.4301  0.037605264 
  710000   -7583.3935   -7583.0439    1.2842499    296.11504    301.45319    4.5097689    24270.309    24270.309  0.002264067   -1239.3738   -1432.2217    206.98009  0.037921235 
  715000    -7582.266   -7583.6403     1.681869    307.66879    300.80911    3.6674129    24270.309    24270.309  0.002264067    -1573.817   -1571.7148    257.78798  0.038200113 
  720000   -7580.2293   -7582.3161    1.4218924    298.02095     299.7719    5.4288791    24270.309    24270.309  0.002264067   -628.04696   -1240.1736    239.85901   0.03741449 
  725000   -7581.5124   -7580.6111     1.553446    293.77282    300.65149    4.1776165    24270.309    24270.309  0.002264067   -859.28402   -983.52506    218.65315  0.037168876 
  730000   -7581.7791   -7581.7996    1.4130453    297.98151     299.7668    5.1724122    24270.309    24270.309  0.002264067   -1065.8051   -1105.6704    95.486972  0.036955189 
  735000   -7580.1276   -7583.6889    2.4823135    303.27212    299.23501    4.8650182    24270.309    24270.309  0.002264067   -931.36066   -1456.0702    393.33759   0.03686844 
  740000   -7583.4111   -7584.1136    1.7002367    297.90318    299.40099    6.2359786    24270.309    24270.309  0.002264067   -1447.7839   -1656.5952    144.07566  0.036868431 
  745000   -7582.1009   -7582.2478     1.867548    291.63168    298.74042    4.8197732    24270.309    24270.309  0.002264067     -787.969   -1097.1269    314.07976  0.037225015 
  750000   -7581.2788   -7583.1874    1.0736788    302.09216     296.5222    5.0858317    24270.309    24270.309  0.002264067   -1091.2804   -1237.8665    224.22724  0.038244746 
  755000   -7577.7028   -7580.8409    2.2097108    307.60377    299.86873    6.1521668    24270.309    24270.309  0.002264067   -525.38835   -885.55097    351.57115  0.040046283 
  760000   -7582.4098   -7583.1856    1.1957713    299.88255    302.90155    4.6908592    24270.309    24270.309  0.002264067   -1248.5977   -1592.2812    130.02436    0.0375926 
  765000   -7582.6883   -7582.2214     1.569885    300.71617    300.16329    5.5284724    24270.309    24270.309  0.002264067   -1432.4017   -1242.2033    130.54839  0.037375241 
  770000   -7583.2256    -7583.517    1.2222064    299.31524    298.45326    4.5524149    24270.309    24270.309  0.002264067   -1502.6051   -1463.5796     113.9528  0.036437001 
  775000   -7582.7563   -7581.3351    1.2341952    298.35665    302.57661    5.0179857    24270.309    24270.309  0.002264067   -1303.4834   -1235.6231    54.392493  0.036133675 
  780000   -7582.3574   -7583.6391    1.1938331    310.59392    299.12272    5.3650684    24270.309    24270.309  0.002264067   -1853.5629   -1575.0054    181.03028  0.035198927 
  785000   -7584.8667   -7581.8751    1.7622478    298.38375    303.15027    5.0783812    24270.309    24270.309  0.002264067   -1709.0997    -1294.645    183.99463  0.036057041 
  790000   -7576.8963   -7581.4492    1.5739001    311.11409    300.87391    4.0252771    24270.309    24270.309  0.002264067   -547.77597   -1120.4533      254.344  0.036848916 
  795000   -7579.6946     -7578.66    1.7728154    298.24033     302.9161    4.8823396    24270.309    24270.309  0.002264067   -575.37185    -556.2554    428.37885  0.038845167 
  800000    -7585.355   -7582.6567    1.2756637    291.60975    296.57502    3.9443071    24270.309    24270.309  0.002264067   -1584.2262   -1204.8366    156.26685  0.037226994 
  805000   -7583.3419   -7583.7263    1.6179781    303.48192    300.07824    4.6847395    24270.309    24270.309  0.002264067   -1695.2762   -1581.9684    247.72292  0.036280158 
  810000   -7582.8111   -7580.5568    1.3530792    300.04744    301.44159    4.6775884    24270.309    24270.309  0.002264067    -1375.931   -915.43569    168.47964  0.035948386 
  815000   -7583.1565   -7584.2766    1.0704344    299.92721    300.12787    5.0238131    24270.309    24270.309  0.002264067   -1415.1871   -1656.7765    137.57146  0.036241151 
  820000   -7580.9248   -7581.7305    1.9374638    301.45717    300.54513    5.5935567    24270.309    24270.309  0.002264067   -972.38957   -1056.5029    241.22551  0.035786673 
  825000   -7582.4896   -7582.5357    2.0677876    290.92401    299.25829    6.9735127    24270.309    24270.309  0.002264067   -827.08136   -1175.4501    193.05261  0.037526101 
  830000   -7579.6702   -7580.6854    1.4878267    304.71636    299.53532    4.9511646    24270.309    24270.309  0.002264067   -857.93397   -865.80234    190.32364  0.035978803 
  835000    -7578.536   -7580.9144     1.541774    302.85399    301.35909    5.1678717    24270.309    24270.309  0.002264067   -487.54516   -955.46164    219.01994  0.037136457 
  840000    -7582.655   -7581.8389    1.2612482    303.69265    302.10554    5.3724511    24270.309    24270.309  0.002264067   -1277.1673   -1083.3241    141.48068  0.036838316 
  845000   -7581.4676   -7581.2426    1.8843783    300.15596    299.57323    6.8695525    24270.309    24270.309  0.002264067   -1059.3934   -967.06386    164.96012  0.037693621 
  850000   -7582.8212   -7583.3854    2.3031748    304.57273    299.63034    5.6362978    24270.309    24270.309  0.002264067   -1651.6709   -1521.0876    291.27966  0.037542378 
  855000   -7582.2823   -7582.6191    1.2196588    299.63402    299.10686    4.4212777    24270.309    24270.309  0.002264067   -1165.9256   -1242.4609    139.40043  0.038363321 
  860000   -7580.2665   -7582.4418    1.8848558    303.38329    298.56893    4.3942392    24270.309    24270.309  0.002264067   -1036.4555   -1228.2185     369.9137  0.036901395 
  865000   -7584.7412   -7583.7483    1.8264698    297.36158    299.14809    6.1835079    24270.309    24270.309  0.002264067   -1677.2315   -1557.3271    128.99447  0.037406812 
  870000   -7582.1425   -7580.4182    1.4018311    292.20345    299.21388     5.038228    24270.309    24270.309  0.002264067   -910.49394    -818.7971    115.93653  0.038287748 
  875000   -7580.7115   -7580.4241    1.5242251    297.93188     301.1388    4.7409531    24270.309    24270.309  0.002264067   -897.66977   -921.20133    193.45955  0.038474128 
  880000   -7582.2532   -7582.4916    1.0380665    307.82965    301.11045    4.2201919    24270.309    24270.309  0.002264067   -1562.5466   -1315.8747    166.91087  0.039888544 
  885000   -7580.2226   -7580.4147     1.479433    301.81484    300.41271     4.283736    24270.309    24270.309  0.002264067   -897.38673   -827.74549    186.60552  0.040200445 
  890000   -7580.1139   -7582.4172     1.327939    306.77468    301.01731    4.9724717    24270.309    24270.309  0.002264067   -1044.1287   -1277.5491    141.65456  0.038870506 
  895000   -7582.4343    -7581.004      2.30234    304.26917    299.13066    5.0599419    24270.309    24270.309  0.002264067   -1416.0905    -883.0333    364.34812  0.037944088 
  900000   -7580.0194   -7582.5589    1.8713261     307.3702    297.35255    4.9814815    24270.309    24270.309  0.002264067   -1014.8489   -1202.3779    346.04459  0.037874258 
  905000   -7585.5107   -7583.9823    2.1024365    291.97015    299.14365    8.0074006    24270.309    24270.309  0.002264067   -1630.2412   -1596.7857    187.81301  0.036984859 
  910000   -7583.2109   -7583.3221    1.3900973     294.0013    299.73507    5.1085276    24270.309    24270.309  0.002264067   -1205.9457   -1509.8712    128.21124  0.037466068 
  915000   -7582.2705   -7581.1388    1.2522855    299.28307    298.95546    4.6009822    24270.309    24270.309  0.002264067   -1301.6525   -1034.6894    160.13375  0.036926375 
  920000   -7582.7566   -7580.8045    1.2904968    296.85394    303.92398    4.8424636    24270.309    24270.309  0.002264067   -1020.8857   -1026.8014    119.28573  0.037168848 
  925000   -7578.9127   -7584.4802    2.7231873     308.9877     299.9923    5.9603974    24270.309    24270.309  0.002264067   -761.69318   -1636.8819    436.10486  0.038410108 
  930000   -7583.1372   -7583.3558    1.4073331     299.2901    300.21312    4.6260621    24270.309    24270.309  0.002264067   -1295.8531   -1424.5959    175.82467  0.037984151 
  935000   -7578.6823   -7580.7673    2.5006233    305.33248    302.14975    5.8948635    24270.309    24270.309  0.002264067   -615.31573   -1014.7482    338.77979  0.038352842 
  940000   -7582.4476   -7581.2861    2.1530509    292.77037    300.68178     6.664455    24270.309    24270.309  0.002264067   -998.52756   -1036.8637    223.99756  0.038034407 
  945000   -7581.7476    -7581.642    1.3238858    298.60254    299.93778    4.0356332    24270.309    24270.309  0.002264067   -1000.7072   -1027.5014    135.33276  0.037469929 
  950000   -7583.8279   -7582.8618    1.4103299    302.13912    300.32405    5.0732294    24270.309    24270.309  0.002264067   -1660.3415   -1393.3238    164.78342  0.037255818 
  955000   -7585.8882     -7582.23    2.0713872    293.98235    299.90842    5.4416845    24270.309    24270.309  0.002264067   -1852.6695   -1235.7327    306.62506   0.03663079 
